datei,beta,r2
Places365_val_00020199.jpg,2.863830,0.988257
Places365_val_00008567.jpg,2.684774,0.995879
Places365_val_00030501.jpg,2.934337,0.997670
Places365_val_00007514.jpg,2.622406,0.995161
Places365_val_00004243.jpg,2.190781,0.933834
Places365_val_00025426.jpg,2.210644,0.994078
Places365_val_00016759.jpg,3.114851,0.997091
Places365_val_00030078.jpg,1.944121,0.994872
Places365_val_00016302.jpg,2.395957,0.987389
Places365_val_00027374.jpg,2.200950,0.976625
Places365_val_00008160.jpg,2.769758,0.983360
Places365_val_00026345.jpg,2.548809,0.992942
Places365_val_00028770.jpg,3.209505,0.997806
Places365_val_00011637.jpg,2.207057,0.994945
Places365_val_00005875.jpg,2.072824,0.984986
Places365_val_00004151.jpg,2.495739,0.994571
Places365_val_00006029.jpg,1.807595,0.966137
Places365_val_00013709.jpg,2.554308,0.992922
Places365_val_00021192.jpg,2.671879,0.996525
Places365_val_00027544.jpg,1.609767,0.911426
Places365_val_00001780.jpg,2.462429,0.995551
Places365_val_00003583.jpg,2.387083,0.974560
Places365_val_00035100.jpg,2.462281,0.993749
Places365_val_00001578.jpg,4.138765,0.978300
Places365_val_00032331.jpg,2.862333,0.970887
Places365_val_00029209.jpg,2.825876,0.993998
Places365_val_00017470.jpg,2.476240,0.972405
Places365_val_00013833.jpg,2.095571,0.991837
Places365_val_00033761.jpg,2.415955,0.994605
Places365_val_00036198.jpg,2.287859,0.990356
Places365_val_00026609.jpg,2.080274,0.992047
Places365_val_00001351.jpg,2.970790,0.996297
Places365_val_00024425.jpg,2.374674,0.994444
Places365_val_00022578.jpg,2.688464,0.955654
Places365_val_00023932.jpg,2.148503,0.980180
Places365_val_00020981.jpg,1.379715,0.981334
Places365_val_00026553.jpg,1.826213,0.981565
Places365_val_00015776.jpg,2.656226,0.993276
Places365_val_00027185.jpg,2.569569,0.995948
Places365_val_00013592.jpg,2.184481,0.995005
Places365_val_00017127.jpg,2.192150,0.989953
Places365_val_00035962.jpg,2.213903,0.982666
Places365_val_00014387.jpg,2.410416,0.988430
Places365_val_00031726.jpg,2.341245,0.980395
Places365_val_00018625.jpg,2.436871,0.989932
Places365_val_00008159.jpg,2.541126,0.994941
Places365_val_00000210.jpg,2.663568,0.991534
Places365_val_00021329.jpg,2.850025,0.978237
Places365_val_00019002.jpg,2.603149,0.986488
Places365_val_00023106.jpg,2.445938,0.972279
Places365_val_00011584.jpg,3.034397,0.992731
Places365_val_00015011.jpg,2.536514,0.993864
Places365_val_00028195.jpg,2.262157,0.969250
Places365_val_00010463.jpg,2.404194,0.993214
Places365_val_00034103.jpg,2.659894,0.972994
Places365_val_00007576.jpg,1.970943,0.962196
Places365_val_00013794.jpg,2.545060,0.979094
Places365_val_00019718.jpg,2.334502,0.991796
Places365_val_00034924.jpg,2.394480,0.990026
Places365_val_00001617.jpg,2.681558,0.993820
Places365_val_00017566.jpg,2.500597,0.994016
Places365_val_00022959.jpg,2.333190,0.993984
Places365_val_00023127.jpg,2.179921,0.992983
Places365_val_00026439.jpg,2.584616,0.994348
Places365_val_00016374.jpg,2.011243,0.965504
Places365_val_00002305.jpg,2.130812,0.970880
Places365_val_00000240.jpg,2.536487,0.987380
Places365_val_00023222.jpg,2.663156,0.987539
Places365_val_00017254.jpg,2.626282,0.992280
Places365_val_00003469.jpg,2.585735,0.988511
Places365_val_00033597.jpg,1.961170,0.990288
Places365_val_00018047.jpg,2.676430,0.973447
Places365_val_00020948.jpg,2.120045,0.986913
Places365_val_00005756.jpg,2.140817,0.956167
Places365_val_00002815.jpg,2.561343,0.978743
Places365_val_00014041.jpg,2.321360,0.992854
Places365_val_00005189.jpg,2.431622,0.993505
Places365_val_00021578.jpg,2.428573,0.993384
Places365_val_00032042.jpg,2.548507,0.971748
Places365_val_00023351.jpg,2.598218,0.992940
Places365_val_00010437.jpg,1.866445,0.982401
Places365_val_00018094.jpg,2.456012,0.994439
Places365_val_00034779.jpg,2.653956,0.995432
Places365_val_00033229.jpg,2.356511,0.919658
Places365_val_00000547.jpg,2.265310,0.966246
Places365_val_00004987.jpg,2.946766,0.981733
Places365_val_00000642.jpg,2.571628,0.993550
Places365_val_00017637.jpg,2.350968,0.993526
Places365_val_00010988.jpg,1.208689,0.965476
Places365_val_00031289.jpg,2.992885,0.976362
Places365_val_00018322.jpg,2.125969,0.993983
Places365_val_00017109.jpg,3.112131,0.951878
Places365_val_00020098.jpg,2.438373,0.918557
Places365_val_00018314.jpg,2.472465,0.973335
Places365_val_00027564.jpg,2.628072,0.985598
Places365_val_00004529.jpg,2.490955,0.993108
Places365_val_00002968.jpg,2.679663,0.992952
Places365_val_00027850.jpg,2.450079,0.993413
Places365_val_00009347.jpg,2.659364,0.994579
Places365_val_00023274.jpg,2.934938,0.998282
Places365_val_00019585.jpg,2.614251,0.991491
Places365_val_00002559.jpg,2.727332,0.995060
Places365_val_00036043.jpg,1.978566,0.969777
Places365_val_00025454.jpg,3.067330,0.996334
Places365_val_00025705.jpg,2.538671,0.993494
Places365_val_00010234.jpg,2.037516,0.985693
Places365_val_00034426.jpg,2.167703,0.982804
Places365_val_00010184.jpg,2.391515,0.991043
Places365_val_00032239.jpg,2.424536,0.987088
Places365_val_00029734.jpg,2.626299,0.996539
Places365_val_00027277.jpg,2.482242,0.964174
Places365_val_00031254.jpg,2.210180,0.989006
Places365_val_00012230.jpg,2.300555,0.989797
Places365_val_00020547.jpg,1.996632,0.907392
Places365_val_00007960.jpg,2.635222,0.989005
Places365_val_00006926.jpg,2.472128,0.994111
Places365_val_00029562.jpg,2.681597,0.973194
Places365_val_00024208.jpg,2.688915,0.992542
Places365_val_00029743.jpg,2.011978,0.983186
Places365_val_00002501.jpg,2.929185,0.990308
Places365_val_00013484.jpg,3.471697,0.997700
Places365_val_00033802.jpg,2.186003,0.994829
Places365_val_00012510.jpg,2.057495,0.941207
Places365_val_00032099.jpg,2.243953,0.989749
Places365_val_00006660.jpg,2.471422,0.994127
Places365_val_00024386.jpg,2.052596,0.996672
Places365_val_00016510.jpg,2.628216,0.991968
Places365_val_00024053.jpg,2.336074,0.989856
Places365_val_00029939.jpg,2.794862,0.974820
Places365_val_00021310.jpg,2.188718,0.991744
Places365_val_00029191.jpg,2.340438,0.986849
Places365_val_00003356.jpg,2.402002,0.991100
Places365_val_00007183.jpg,3.491065,0.998814
Places365_val_00005137.jpg,2.998592,0.989879
Places365_val_00033069.jpg,4.159701,0.978830
Places365_val_00009446.jpg,1.998488,0.974708
Places365_val_00015766.jpg,2.424581,0.993777
Places365_val_00033062.jpg,2.498760,0.971188
Places365_val_00018895.jpg,2.530625,0.980190
Places365_val_00027411.jpg,2.468945,0.984872
Places365_val_00016867.jpg,2.247936,0.989228
Places365_val_00012498.jpg,1.898964,0.959618
Places365_val_00012272.jpg,2.627467,0.982038
Places365_val_00003647.jpg,2.098489,0.989201
Places365_val_00008222.jpg,2.750074,0.989602
Places365_val_00019783.jpg,2.229108,0.992335
Places365_val_00035681.jpg,2.041597,0.991756
Places365_val_00015637.jpg,2.565267,0.995694
Places365_val_00021641.jpg,2.690969,0.991155
Places365_val_00003736.jpg,2.821571,0.993833
Places365_val_00006978.jpg,2.812183,0.968018
Places365_val_00005605.jpg,2.667460,0.993960
Places365_val_00020789.jpg,2.543799,0.978033
Places365_val_00001619.jpg,2.094216,0.983211
Places365_val_00011015.jpg,2.646044,0.993241
Places365_val_00032900.jpg,3.029258,0.991597
Places365_val_00028823.jpg,2.445430,0.980288
Places365_val_00030188.jpg,1.868788,0.952694
Places365_val_00012576.jpg,2.431799,0.992102
Places365_val_00017868.jpg,1.940732,0.987162
Places365_val_00015353.jpg,2.589527,0.996739
Places365_val_00022572.jpg,2.230966,0.991803
Places365_val_00002410.jpg,2.414571,0.990640
Places365_val_00020772.jpg,2.443909,0.977932
Places365_val_00028569.jpg,2.513538,0.995938
Places365_val_00035324.jpg,2.240383,0.986763
Places365_val_00029292.jpg,1.967943,0.974326
Places365_val_00035493.jpg,2.460654,0.986372
Places365_val_00021426.jpg,2.194411,0.991495
Places365_val_00013753.jpg,2.006573,0.980982
Places365_val_00009573.jpg,2.986751,0.977509
Places365_val_00035090.jpg,2.416789,0.926513
Places365_val_00035065.jpg,2.142125,0.986584
Places365_val_00016204.jpg,1.733894,0.992236
Places365_val_00003241.jpg,2.927143,0.966719
Places365_val_00033667.jpg,2.455497,0.989936
Places365_val_00011450.jpg,2.418072,0.996820
Places365_val_00015066.jpg,2.489171,0.991423
Places365_val_00024951.jpg,2.772989,0.995199
Places365_val_00029241.jpg,2.615357,0.980062
Places365_val_00024092.jpg,2.646721,0.974356
Places365_val_00018500.jpg,2.695314,0.988630
Places365_val_00023172.jpg,2.468001,0.971167
Places365_val_00007043.jpg,2.638898,0.991933
Places365_val_00034516.jpg,2.003359,0.942645
Places365_val_00000374.jpg,2.467718,0.981131
Places365_val_00011161.jpg,2.231335,0.980339
Places365_val_00034973.jpg,2.344467,0.991025
Places365_val_00011675.jpg,2.186680,0.990244
Places365_val_00022152.jpg,2.677570,0.989409
Places365_val_00008267.jpg,2.839748,0.995747
Places365_val_00011293.jpg,2.041729,0.997079
Places365_val_00022207.jpg,2.935233,0.987019
Places365_val_00002162.jpg,2.467091,0.993060
Places365_val_00001584.jpg,2.178221,0.977017
Places365_val_00002239.jpg,2.900182,0.994215
Places365_val_00024006.jpg,2.591352,0.994312
Places365_val_00025304.jpg,2.732197,0.991272
Places365_val_00013991.jpg,2.742924,0.990760
Places365_val_00027679.jpg,2.631048,0.994492
Places365_val_00015840.jpg,2.567926,0.994855
Places365_val_00018906.jpg,2.683012,0.980764
Places365_val_00011258.jpg,1.199833,0.982928
Places365_val_00027260.jpg,2.549233,0.990268
Places365_val_00012376.jpg,2.368021,0.924808
Places365_val_00010092.jpg,2.254861,0.992150
Places365_val_00027637.jpg,2.917528,0.990288
Places365_val_00024523.jpg,2.064057,0.958479
Places365_val_00006180.jpg,2.755303,0.997554
Places365_val_00029782.jpg,2.364445,0.971598
Places365_val_00029251.jpg,2.457125,0.986333
Places365_val_00002515.jpg,2.694486,0.990776
Places365_val_00021165.jpg,2.409426,0.938129
Places365_val_00022737.jpg,2.025872,0.965249
Places365_val_00028917.jpg,2.252974,0.989768
Places365_val_00005244.jpg,2.933280,0.997574
Places365_val_00019148.jpg,2.575965,0.984636
Places365_val_00017631.jpg,2.907418,0.989731
Places365_val_00032977.jpg,2.141383,0.991565
Places365_val_00024611.jpg,2.550329,0.992857
Places365_val_00010897.jpg,3.083195,0.992427
Places365_val_00004493.jpg,2.123508,0.992639
Places365_val_00028322.jpg,2.809069,0.978410
Places365_val_00015064.jpg,3.402315,0.993426
Places365_val_00033296.jpg,2.551906,0.991197
Places365_val_00028876.jpg,2.880078,0.991679
Places365_val_00020458.jpg,2.458230,0.987921
Places365_val_00000387.jpg,2.582760,0.972095
Places365_val_00005978.jpg,2.288367,0.917347
Places365_val_00032493.jpg,2.647497,0.958086
Places365_val_00035936.jpg,2.012779,0.981098
Places365_val_00008110.jpg,2.216312,0.995880
Places365_val_00012139.jpg,2.396329,0.993925
Places365_val_00033503.jpg,3.544353,0.983333
Places365_val_00006827.jpg,2.046274,0.970500
Places365_val_00017487.jpg,3.249831,0.983759
Places365_val_00018539.jpg,2.654423,0.995044
Places365_val_00016147.jpg,3.180797,0.992581
Places365_val_00035832.jpg,2.513751,0.993354
Places365_val_00002231.jpg,2.928970,0.987329
Places365_val_00023845.jpg,2.247604,0.993815
Places365_val_00021668.jpg,2.617604,0.982151
Places365_val_00021603.jpg,2.765955,0.985249
Places365_val_00025136.jpg,3.103845,0.991019
Places365_val_00017590.jpg,1.731292,0.971700
Places365_val_00007621.jpg,2.780120,0.989210
Places365_val_00019567.jpg,3.155647,0.997383
Places365_val_00022146.jpg,2.676238,0.992572
Places365_val_00004024.jpg,2.840222,0.995580
Places365_val_00014614.jpg,2.417480,0.979514
Places365_val_00026202.jpg,2.421932,0.979729
Places365_val_00015613.jpg,2.582456,0.992024
Places365_val_00017354.jpg,2.040012,0.953440
Places365_val_00018011.jpg,2.680029,0.995927
Places365_val_00032204.jpg,2.394727,0.995181
Places365_val_00036053.jpg,1.716110,0.972158
Places365_val_00026742.jpg,2.147469,0.992188
Places365_val_00029409.jpg,2.422020,0.991571
Places365_val_00027710.jpg,3.244334,0.996677
Places365_val_00034560.jpg,2.690238,0.996040
Places365_val_00004717.jpg,2.179215,0.990238
Places365_val_00036313.jpg,2.816109,0.973979
Places365_val_00018534.jpg,2.029620,0.984359
Places365_val_00016137.jpg,2.829199,0.990973
Places365_val_00031153.jpg,2.431031,0.993108
Places365_val_00019082.jpg,2.645350,0.994819
Places365_val_00006910.jpg,2.619599,0.984561
Places365_val_00015477.jpg,2.769802,0.969292
Places365_val_00003111.jpg,2.267714,0.985329
Places365_val_00024657.jpg,1.491464,0.958992
Places365_val_00032756.jpg,2.688337,0.996744
Places365_val_00007078.jpg,2.067726,0.988934
Places365_val_00029691.jpg,2.897132,0.978624
Places365_val_00001122.jpg,2.436425,0.980613
Places365_val_00000092.jpg,2.133438,0.925543
Places365_val_00004927.jpg,2.145391,0.990316
Places365_val_00006014.jpg,2.190003,0.983592
Places365_val_00023077.jpg,2.398702,0.993756
Places365_val_00018642.jpg,1.908916,0.986148
Places365_val_00033553.jpg,2.054074,0.991834
Places365_val_00014633.jpg,2.964242,0.990122
Places365_val_00006015.jpg,2.332088,0.984530
Places365_val_00007849.jpg,2.918481,0.994756
Places365_val_00017524.jpg,2.557089,0.998133
Places365_val_00001209.jpg,2.101609,0.982403
Places365_val_00008356.jpg,2.207059,0.982460
Places365_val_00012085.jpg,2.051192,0.994021
Places365_val_00015267.jpg,2.506247,0.992059
Places365_val_00028168.jpg,3.045878,0.996941
Places365_val_00025838.jpg,2.427168,0.993081
Places365_val_00035774.jpg,2.002015,0.991567
Places365_val_00019772.jpg,2.524029,0.995231
Places365_val_00034668.jpg,1.447436,0.937730
Places365_val_00023038.jpg,2.835972,0.995020
Places365_val_00000503.jpg,3.086116,0.994865
Places365_val_00002530.jpg,2.990263,0.989332
Places365_val_00033369.jpg,2.894487,0.988169
Places365_val_00004636.jpg,2.151239,0.934598
Places365_val_00010475.jpg,2.780219,0.995895
Places365_val_00009506.jpg,2.502630,0.995635
Places365_val_00026120.jpg,2.203215,0.993679
Places365_val_00014924.jpg,2.461376,0.994371
Places365_val_00027412.jpg,2.826412,0.996557
Places365_val_00016982.jpg,1.921934,0.984591
Places365_val_00021182.jpg,2.634669,0.996250
Places365_val_00003287.jpg,2.677370,0.995944
Places365_val_00025572.jpg,1.888814,0.974600
Places365_val_00030253.jpg,2.460703,0.990553
Places365_val_00006788.jpg,3.049746,0.968069
Places365_val_00018927.jpg,2.551622,0.994576
Places365_val_00022918.jpg,2.428892,0.993049
Places365_val_00017291.jpg,1.679828,0.992782
Places365_val_00009183.jpg,2.086029,0.972273
Places365_val_00025865.jpg,2.922888,0.993914
Places365_val_00014624.jpg,2.242936,0.992426
Places365_val_00014088.jpg,2.656116,0.992288
Places365_val_00022265.jpg,2.271287,0.994135
Places365_val_00010982.jpg,2.473981,0.991338
Places365_val_00006591.jpg,1.932742,0.962032
Places365_val_00004272.jpg,2.395280,0.994055
Places365_val_00006291.jpg,1.975093,0.991124
Places365_val_00008020.jpg,3.276343,0.987417
Places365_val_00020799.jpg,3.228935,0.978771
Places365_val_00021285.jpg,2.918726,0.989843
Places365_val_00032560.jpg,2.718597,0.995476
Places365_val_00034693.jpg,2.440296,0.993354
Places365_val_00000763.jpg,1.411386,0.834522
Places365_val_00033334.jpg,1.880468,0.972198
Places365_val_00010330.jpg,3.123477,0.991565
Places365_val_00023140.jpg,2.569333,0.986110
Places365_val_00032754.jpg,2.571557,0.978672
Places365_val_00006905.jpg,1.997708,0.980212
Places365_val_00016690.jpg,2.261884,0.974787
Places365_val_00031198.jpg,2.184873,0.992848
Places365_val_00005632.jpg,2.768640,0.988534
Places365_val_00009298.jpg,2.437926,0.984963
Places365_val_00036233.jpg,2.473228,0.994866
Places365_val_00027864.jpg,2.007183,0.963707
Places365_val_00017643.jpg,2.107386,0.974168
Places365_val_00028954.jpg,2.507528,0.992278
Places365_val_00013666.jpg,2.826801,0.977505
Places365_val_00028237.jpg,2.622899,0.982020
Places365_val_00011895.jpg,2.643894,0.994122
Places365_val_00029026.jpg,3.139704,0.975995
Places365_val_00015782.jpg,1.601857,0.976638
Places365_val_00015704.jpg,2.982583,0.995344
Places365_val_00019936.jpg,2.336598,0.992614
Places365_val_00013343.jpg,2.026695,0.958425
Places365_val_00014480.jpg,2.540551,0.957096
Places365_val_00005650.jpg,2.566037,0.990681
Places365_val_00014114.jpg,1.954164,0.979280
Places365_val_00002798.jpg,2.159700,0.997430
Places365_val_00035875.jpg,2.112530,0.979582
Places365_val_00001698.jpg,2.189395,0.972638
Places365_val_00009396.jpg,2.526780,0.985058
Places365_val_00030545.jpg,2.500189,0.982816
Places365_val_00031836.jpg,1.821478,0.988731
Places365_val_00003628.jpg,2.623926,0.993216
Places365_val_00025071.jpg,2.846592,0.982437
Places365_val_00014083.jpg,2.063549,0.982510
Places365_val_00004516.jpg,1.939404,0.982502
Places365_val_00014477.jpg,2.069505,0.990417
Places365_val_00028817.jpg,2.364831,0.995865
Places365_val_00023300.jpg,2.791560,0.996834
Places365_val_00021947.jpg,1.897131,0.990443
Places365_val_00023370.jpg,2.395275,0.996267
Places365_val_00020762.jpg,2.608590,0.994949
Places365_val_00002522.jpg,2.446581,0.985419
Places365_val_00014344.jpg,2.676694,0.956613
Places365_val_00016333.jpg,1.469292,0.988920
Places365_val_00005721.jpg,2.183348,0.992127
Places365_val_00005126.jpg,2.617023,0.995429
Places365_val_00009189.jpg,2.429027,0.987921
Places365_val_00027533.jpg,2.256981,0.995565
Places365_val_00021941.jpg,2.583083,0.994449
Places365_val_00007285.jpg,2.849459,0.991339
Places365_val_00023021.jpg,2.521464,0.994629
Places365_val_00020122.jpg,2.597299,0.974767
Places365_val_00007245.jpg,3.319673,0.980268
Places365_val_00017741.jpg,2.569562,0.991564
Places365_val_00002543.jpg,2.560703,0.980286
Places365_val_00013436.jpg,2.805839,0.996624
Places365_val_00008355.jpg,2.231094,0.973185
Places365_val_00007873.jpg,2.333846,0.954669
Places365_val_00023463.jpg,2.486610,0.988910
Places365_val_00019514.jpg,2.242296,0.997574
Places365_val_00002554.jpg,2.547128,0.987905
Places365_val_00035147.jpg,1.623954,0.951856
Places365_val_00008208.jpg,3.488526,0.995672
Places365_val_00019277.jpg,2.974441,0.994915
Places365_val_00000774.jpg,2.438018,0.987596
Places365_val_00014000.jpg,2.827828,0.995600
Places365_val_00015864.jpg,2.117138,0.962062
Places365_val_00022069.jpg,2.501383,0.992624
Places365_val_00006114.jpg,2.602840,0.967159
Places365_val_00017370.jpg,2.769513,0.995711
Places365_val_00027804.jpg,2.322431,0.985489
Places365_val_00027391.jpg,2.819204,0.995173
Places365_val_00025009.jpg,2.562555,0.988179
Places365_val_00021638.jpg,3.112258,0.995479
Places365_val_00002240.jpg,2.707590,0.972586
Places365_val_00024893.jpg,2.423716,0.973682
Places365_val_00022197.jpg,2.428435,0.988357
Places365_val_00005007.jpg,2.221189,0.968759
Places365_val_00009618.jpg,2.375085,0.995057
Places365_val_00006840.jpg,2.180071,0.984780
Places365_val_00016588.jpg,2.444945,0.972093
Places365_val_00020696.jpg,2.433067,0.986180
Places365_val_00022087.jpg,2.853986,0.998318
Places365_val_00015220.jpg,2.860837,0.979752
Places365_val_00028892.jpg,3.827149,0.984496
Places365_val_00007758.jpg,2.598966,0.993266
Places365_val_00022685.jpg,2.476244,0.990263
Places365_val_00004600.jpg,3.187210,0.986672
Places365_val_00011365.jpg,2.648065,0.997129
Places365_val_00008614.jpg,1.528965,0.944306
Places365_val_00024927.jpg,2.465620,0.993093
Places365_val_00028935.jpg,2.458113,0.960640
Places365_val_00008024.jpg,2.268185,0.972296
Places365_val_00030461.jpg,2.602550,0.948939
Places365_val_00033739.jpg,2.850640,0.995554
Places365_val_00012424.jpg,2.703489,0.992103
Places365_val_00017083.jpg,2.195545,0.989018
Places365_val_00001243.jpg,2.606006,0.988375
Places365_val_00002558.jpg,1.761276,0.963769
Places365_val_00003731.jpg,2.746824,0.983627
Places365_val_00018681.jpg,2.125079,0.989218
Places365_val_00030067.jpg,2.425632,0.992234
Places365_val_00028266.jpg,2.202376,0.976433
Places365_val_00023365.jpg,2.454971,0.995390
Places365_val_00010726.jpg,1.633839,0.915629
Places365_val_00033956.jpg,2.580486,0.972630
Places365_val_00000192.jpg,2.935687,0.993776
Places365_val_00010948.jpg,2.778157,0.991528
Places365_val_00035672.jpg,2.449496,0.968030
Places365_val_00033579.jpg,1.871490,0.981003
Places365_val_00023232.jpg,2.057818,0.975323
Places365_val_00035896.jpg,2.552037,0.997151
Places365_val_00030827.jpg,2.477135,0.961709
Places365_val_00035561.jpg,1.679014,0.994920
Places365_val_00023109.jpg,2.601184,0.987348
Places365_val_00035371.jpg,2.011182,0.966856
Places365_val_00029396.jpg,3.363827,0.995649
Places365_val_00001651.jpg,2.225174,0.995431
Places365_val_00006921.jpg,2.535112,0.989379
Places365_val_00026077.jpg,3.103539,0.990792
Places365_val_00034161.jpg,2.366780,0.997196
Places365_val_00011294.jpg,2.740130,0.989255
Places365_val_00018315.jpg,3.127718,0.975960
Places365_val_00030003.jpg,2.574004,0.980895
Places365_val_00020792.jpg,2.244630,0.987174
Places365_val_00033202.jpg,2.264317,0.982783
Places365_val_00030765.jpg,2.170441,0.994936
Places365_val_00013189.jpg,2.727020,0.998212
Places365_val_00002991.jpg,2.656269,0.994406
Places365_val_00004071.jpg,2.527387,0.988094
Places365_val_00004058.jpg,2.364044,0.993860
Places365_val_00021485.jpg,2.425112,0.983841
Places365_val_00030467.jpg,2.877636,0.984591
Places365_val_00003313.jpg,2.544092,0.992428
Places365_val_00016218.jpg,2.311424,0.985800
Places365_val_00002258.jpg,2.770719,0.988952
Places365_val_00022580.jpg,1.670363,0.993081
Places365_val_00018648.jpg,3.094565,0.995705
Places365_val_00032742.jpg,2.671946,0.982778
Places365_val_00031812.jpg,2.032522,0.968402
Places365_val_00036157.jpg,2.660671,0.989238
Places365_val_00009628.jpg,2.773618,0.995110
Places365_val_00019174.jpg,2.654167,0.983181
Places365_val_00007539.jpg,2.549239,0.993360
Places365_val_00018559.jpg,2.580449,0.953645
Places365_val_00007193.jpg,2.012141,0.984053
Places365_val_00013780.jpg,1.691672,0.986761
Places365_val_00025273.jpg,2.337160,0.990132
Places365_val_00020780.jpg,2.787068,0.988835
Places365_val_00012452.jpg,2.423770,0.997793
Places365_val_00007759.jpg,2.725375,0.991966
Places365_val_00027835.jpg,2.507190,0.985454
Places365_val_00024293.jpg,2.508380,0.987912
Places365_val_00009978.jpg,2.368131,0.973448
Places365_val_00004954.jpg,2.433027,0.962908
Places365_val_00019898.jpg,3.180042,0.995943
Places365_val_00032639.jpg,1.959113,0.988017
Places365_val_00003176.jpg,2.714772,0.994735
Places365_val_00019389.jpg,2.511398,0.990913
Places365_val_00025144.jpg,2.531861,0.995549
Places365_val_00036190.jpg,2.292459,0.989540
Places365_val_00016035.jpg,2.715888,0.996132
Places365_val_00017940.jpg,3.091806,0.974608
Places365_val_00018820.jpg,2.459005,0.989929
Places365_val_00004016.jpg,2.926048,0.987096
Places365_val_00007264.jpg,1.880026,0.991127
